col1,SourceID,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
21,4000705532455,150.6796638,2.1966146,False,True,True,False
22,4000705532984,150.67354619999998,2.2264376,True,False,False,False
23,4000705533312,150.66797549999995,2.2429453,False,False,True,False
24,4000705533383,150.6451245,2.2376505,True,False,False,False
25,4000705539435,149.7007293,2.634871,False,False,False,True
26,4000705539529,149.6866264,2.6371612,True,False,False,False
27,4000705539677,149.733008,2.6436556,False,False,True,False
28,4000705539941,149.7026524,2.6546235,False,True,False,False
29,4000705540005,149.7224353,2.6571823,False,False,True,False
30,4000705540034,149.7270169,2.6580661,True,False,False,False
31,4000705540064,149.70149540000003,2.6602711,False,False,False,True
32,4000705540104,149.68887759999996,2.6613829,False,False,False,True
33,4000705540147,149.6986642,2.661838,False,True,False,False
34,4000705540405,149.7328087,2.6794219,True,False,False,False
35,4000705540519,149.6962977,2.6782622000000003,False,True,False,False
36,4000705540672,149.7263868,2.672252,False,False,True,False
38,4000705546183,150.299997,2.5780832,False,True,False,False
39,4000705546342,150.28368480000003,2.5864694,False,True,False,False
40,4000705546816,150.27635880000005,2.6036226000000005,False,True,False,False
41,4000705546924,150.282635,2.6098189,True,False,False,False
42,4000705546942,150.3185577,2.6089989,False,False,False,True
43,4000705547180,150.3197391,2.6178114,False,False,False,True
44,4000705547333,150.2871589,2.6251568,False,True,False,False
111,4000706649921,150.0592642,2.21971,False,True,False,False
128,4000707045178,150.21968769999995,1.6685259,False,False,True,False
129,4000707045688,150.2112865,1.6802951000000002,True,False,False,False
130,4000707045792,150.2187753,1.6823293999999998,False,False,False,True
131,4000707046151,150.2154644,1.6788845,False,False,False,True
132,4000707046655,150.2250439,1.6187669,False,False,False,True
133,4000707047113,150.231987,1.6279281,False,True,False,False
134,4000707047768,150.1973361,1.6317701999999998,False,False,False,True
135,4000707048117,150.22037580000003,1.6362457,False,False,False,True
136,4000707049110,150.2269861,1.6481581000000003,False,False,False,True
137,4000707049261,150.2360164,1.6511707999999998,True,False,False,False
138,4000707049267,150.233506,1.6518248,False,False,False,True
139,4000707050156,150.2422785,1.6650849,False,False,False,True
183,4000708110752,150.1191228,2.3255794,True,False,False,False
189,4000708129678,150.01782769999997,1.8758534,False,False,False,True
190,4000708130341,149.98885719999996,1.9082954,False,False,False,True
191,4000708130472,149.9883311,1.9127881,False,False,False,True
192,4000708130489,149.9978715,1.913195,True,False,False,False
193,4000708130598,150.02664309999997,1.9229965,False,False,True,False
254,4000711650187,149.9385911,2.4332617,False,True,False,False
255,4000711650343,149.95705669999995,2.4382344,False,False,False,True
256,4000711651159,149.93299330000005,2.4773542,False,False,False,True
259,4000711823694,150.6701085,2.7985244,False,False,True,False
260,4000711823705,150.67754109999996,2.7991157,False,True,False,False
261,4000711823745,150.63300619999995,2.8005146,False,True,False,False
262,4000711823990,150.6533045,2.8093801,True,False,False,False
263,4000711824027,150.6680978,2.8107758,False,True,False,False
264,4000711824098,150.6652325,2.8132052000000005,False,False,True,False
265,4000711824171,150.67240259999997,2.8166543,True,False,False,False
266,4000711824236,150.6708127,2.8185592999999995,False,False,True,False
267,4000711824415,150.6761757,2.8255071,False,True,False,False
268,4000711824426,150.6388585,2.8255466,False,True,False,False
269,4000711824508,150.6744769,2.829374,False,False,False,True
270,4000711824674,150.6831355,2.8328064,False,False,True,False
279,4000712623197,150.1228962,2.4435601000000005,False,False,False,True
280,4000712623309,150.118948,2.4572047,False,False,False,True
281,4000712623362,150.112697,2.4576339,False,False,False,True
282,4000712623432,150.12202340000005,2.4615691,False,False,False,True
321,4000713395906,150.02231730000003,2.1993931,False,True,False,False
322,4000713396430,150.03474780000005,2.2194592,False,False,True,False
323,4000713396810,150.024039,2.2362264,False,False,False,True
324,4000713397113,150.0107125,2.2417455000000004,False,False,False,True
375,4000715194894,150.5507569,2.7320341,False,False,False,True
381,4000715209192,150.3143399,2.2416113,False,True,False,False
383,4000715700093,150.3964665,1.8277408,False,True,False,False
384,4000715700373,150.3878706,1.8391952,False,False,False,True
385,4000715700544,150.37626569999995,1.845929,False,False,False,True
386,4000715700597,150.3940779,1.848256,False,False,False,True
387,4000715700613,150.3975469,1.8486644,False,True,False,False
388,4000715700658,150.3736149,1.8520453,False,False,False,True
389,4000715700715,150.3941288,1.8523119,False,False,True,False
390,4000715700978,150.36956659999996,1.8626841,False,True,False,False
391,4000715722697,150.3885501,2.2431756000000003,False,False,True,False
392,4000715723468,150.3936559,2.2771927000000005,False,True,False,False
393,4000715723636,150.3812977,2.2906718,False,False,False,True
394,4000715723843,150.379095,2.2933278,False,False,False,True
415,4000716471009,149.9112892,1.8987033,False,False,False,True
416,4000716471288,149.8871185,1.9084085,False,False,True,False
417,4000716471309,149.9299462,1.9092602,False,True,False,False
418,4000716471498,149.92472769999995,1.9169044,False,False,False,True
419,4000716471646,149.91275280000005,1.9233691,False,True,False,False
420,4000716471874,149.9314155,1.9328136,False,True,False,False
421,4000716471973,149.9315239,1.9433491000000005,False,False,True,False
422,4000716472024,149.8943831,1.9472768,False,True,False,False
423,4000716472139,149.92726509999997,1.938035,False,False,False,True
