col1,SourceID,RA_1a,Dec_1a,isStageOne,isStageTwo,isStageThree,isStageFour,ra_1,dec_1,type_1,zpdf_1,zpdf_l68_1,zpdf_h68_1,zminchi2_1,chi2_best_1,m_i_1,m_z_1,m_k_1,mass_med_1,mass_med_min68_1,mass_med_max68_1,mass_best_1,sfr_med_1,sfr_med_min68_1,sfr_med_max68_1,sfr_best_1,Separation_1,ra_2,dec_2,type_2,zpdf_2,zpdf_l68_2,zpdf_h68_2,zminchi2_2,chi2_best_2,m_i_2,m_z_2,m_k_2,mass_med_2,mass_med_min68_2,mass_med_max68_2,mass_best_2,sfr_med_2,sfr_med_min68_2,sfr_med_max68_2,sfr_best_2,Separation_2
21,4000705532455,150.6796638,2.1966146,false,true,true,false,150.679866,2.196563,0,0.536,0.525,0.545,0.536,2.0709344828,-20.474,-20.607,-20.523,9.329,9.26,9.393,9.355,0.655,0.477,0.835,0.508,0.7507302424534231,150.679538,2.197317,0,2.054,0.746,2.588,2.553,1.0801807692,-19.754,-19.904,-19.907,8.457,8.268,8.648,8.127,0.321,0.215,0.557,0.789,2.5688166800898586
22,4000705532984,150.67354619999998,2.2264376,true,false,false,false,150.673687,2.226308,0,0.23,0.223,0.237,0.229,3.1945068966,-22.079,-22.369,-22.688,10.5,10.466,10.534,10.576,0.411,0.335,0.486,0.536,0.6886347556229658,150.674777,2.225886,0,0.904,0.882,0.921,0.905,2.2252275862,-18.823,-19.042,-18.858,9.149,9.029,9.229,9.218,-0.343,-0.504,-0.21,-0.359,4.852454771869012
23,4000705533312,150.66797549999995,2.2429453,false,false,true,false,150.66812,2.242867,0,0.31,0.302,0.318,0.31,3.2459428571,-20.76,-21.065,-22.055,10.15,10.116,10.184,10.201,-0.1,-0.168,-0.032,-0.058,0.591312017408523,150.668167,2.243655,0,0.336,0.327,0.345,0.336,5.2032142857,-22.33,-22.626,-23.43,10.75,10.716,10.784,10.763,0.5,0.432,0.569,0.505,2.64615955066586
24,4000705533383,150.6451245,2.2376505,true,false,false,false,150.645145,2.237538,0,0.621,0.612,0.645,0.618,1.7719259259,-20.434,-20.483,-20.277,9.508,9.451,9.562,9.578,0.107,0.034,0.179,0.132,0.4116590063232438,150.644525,2.237836,0,0.756,0.734,0.776,0.76,1.0058,-20.416,-20.745,-20.918,9.461,9.411,9.508,9.48,1.013,0.924,1.091,1.032,2.25758339411264
25,4000705539435,149.7007293,2.634871,false,false,false,true,149.70054,2.634988,0,0.26,0.253,0.267,0.264,3.2401034483,-20.784,-20.943,-21.012,9.71,9.668,9.749,9.76,0.297,0.228,0.37,0.369,0.8005266546617626,149.702583,2.635736,0,1.769,1.264,2.227,1.554,0.46484166667,-18.34,-18.419,-18.228,8.084,7.835,8.328,8.054,-0.145,-0.249,0.176,-0.136,7.357720544200745
26,4000705539529,149.6866264,2.6371612,true,false,false,false,149.686238,2.637428,0,0.698,0.688,0.707,0.7,1.2549,-22.039,-22.265,-22.222,10.116,10.066,10.163,10.102,1.232,1.025,1.346,1.319,1.695127608850668,149.687548,2.637165,0,0.834,0.811,0.852,0.833,0.40578888889,-19.812,-19.657,-19.621,9.025,8.959,9.084,9.021,0.158,0.035,0.279,0.191,3.3142745140624617
27,4000705539677,149.733008,2.6436556,false,false,true,false,149.732807,2.643731,0,0.273,0.264,0.28,0.274,3.207637931,-19.116,-19.138,-19.049,9.157,9.118,9.191,9.171,-0.614,-0.682,-0.537,-0.634,0.7721157189545209,149.732239,2.642703,0,0.327,0.32,0.336,0.327,1.9284413793,-20.452,-20.758,-21.259,9.952,9.916,9.987,9.929,0.101,0.032,0.17,0.067,4.405479508219907
28,4000705539941,149.7026524,2.6546235,false,true,false,false,149.702477,2.654904,0,0.237,0.226,0.252,0.233,1.0587,-18.081,-18.221,-18.072,8.657,8.618,8.695,8.657,-1.023,-1.135,-0.938,-1.016,1.190612082953287,149.703617,2.655274,0,1.008,0.965,1.057,1.027,1.0677592593,-19.116,-19.204,-18.542,8.641,8.531,8.761,8.746,0.052,-0.214,0.177,-0.312,4.185310820479276
29,4000705540005,149.7224353,2.6571823,false,false,true,false,149.722263,2.657249,0,0.408,0.398,0.418,0.408,0.74198461538,-18.588,-18.862,-18.702,8.9,8.858,8.949,8.88,-0.792,-0.874,-0.706,-0.793,0.6645133224381253,149.722928,2.657169,0,0.478,0.457,0.487,0.484,2.0818275862,-21.059,-21.231,-21.272,9.715,9.659,9.763,9.731,0.899,0.811,1.006,0.931,1.7724597208832595
30,4000705540034,149.7270169,2.6580661,true,false,false,false,149.726845,2.658178,0,1.022,1.013,1.029,1.022,1.1339310345,-22.171,-22.163,-22.21,9.968,9.855,10.04,9.853,1.291,1.167,1.725,1.713,0.7378477809552363,149.727152,2.656617,0,0.717,0.696,0.728,0.719,0.79814642857,-20.446,-20.711,-20.467,9.622,9.541,9.676,9.669,-0.13,-0.245,0.136,-0.177,5.239334164826838
31,4000705540064,149.70149540000003,2.6602711,false,false,false,true,149.70125,2.660353,0,0.499,0.492,0.507,0.501,3.3385793103,-22.365,-22.604,-22.897,10.396,10.359,10.433,10.397,1.409,1.335,1.483,1.416,0.9304383348022783,149.699876,2.660488,0,4.407,4.212,4.536,4.512,1.0249615385,-21.75,-21.894,-21.862,9.477,9.392,9.572,9.501,2.126,1.976,2.221,2.16,5.875672155691692
32,4000705540104,149.68887759999996,2.6613829,false,false,false,true,149.688727,2.66148,0,0.694,0.685,0.703,0.694,0.95892758621,-21.731,-21.922,-21.948,9.987,9.952,10.029,10.015,1.2,1.132,1.268,1.2,0.6445897102310189,149.689404,2.660739,0,0.98,0.967,0.991,0.98,0.56785714286,-21.05,-21.048,-21.103,9.67,9.605,9.728,9.702,0.691,0.569,0.928,0.646,2.9927821822568674
33,4000705540147,149.6986642,2.661838,false,true,false,false,149.698455,2.662011,0,0.432,0.423,0.439,0.432,1.9166285714,-20.69,-20.81,-21.113,9.74,9.706,9.78,9.795,-0.075,-0.16,0.142,-0.066,0.9766504965885544,149.699361,2.660109,0,2.571,1.316,4.387,0.488,0.30256807692,-20.538,-20.726,-20.634,9.424,9.206,9.603,8.993,0.94,0.651,1.234,1.648,6.709848329948126
34,4000705540405,149.7328087,2.6794219,true,false,false,false,149.732597,2.679498,0,0.48,0.473,0.487,0.482,3.9508928571,-22.899,-23.254,-23.758,10.953,10.917,10.988,10.931,1.401,1.326,1.472,1.444,0.8090807325531164,149.733655,2.679337,0,0.272,0.236,0.299,0.28,2.7504461538,-15.647,-16.17,-16.236,8.036,7.819,8.179,8.157,-1.886,-2.188,-1.473,-2.101,3.0586582877547994
35,4000705540519,149.6962977,2.6782622000000003,false,true,false,false,149.696143,2.67826,0,0.387,0.38,0.396,0.387,2.2889142857,-19.318,-19.501,-19.828,8.945,8.907,8.986,8.942,0.304,0.233,0.372,0.324,0.5563680370187242,149.696144,2.679044,0,0.274,0.262,0.284,0.275,1.49555,-18.64,-18.771,-18.824,8.788,8.743,8.843,8.799,-0.145,-0.402,-0.046,-0.119,2.8682384845254143
36,4000705540672,149.7263868,2.672252,false,false,true,false,149.726444,2.672479,0,0.808,0.793,0.834,0.796,0.79161785714,-20.485,-20.58,-20.425,9.481,9.42,9.545,9.546,0.202,-0.034,0.365,0.047,0.8426901613990186,149.725518,2.672446,0,1.233,1.204,1.255,1.246,0.64000740741,-20.487,-20.493,-20.433,9.357,9.303,9.408,9.36,0.539,0.442,0.634,0.545,3.201387117978725
38,4000705546183,150.299997,2.5780832,false,true,false,false,150.299986,2.578365,0,0.601,0.585,0.61,0.604,3.718862069,-22.903,-23.252,-23.607,10.65,10.616,10.684,10.64,2.0,1.932,2.068,1.974,1.0152510316339811,150.300926,2.578252,0,0.28,0.273,0.287,0.282,2.0484551724,-20.356,-20.509,-20.524,9.408,9.369,9.442,9.443,0.301,0.232,0.369,0.386,3.395828982560602
39,4000705546342,150.28368480000003,2.5864694,false,true,false,false,150.28369,2.586751,0,0.25,0.243,0.257,0.247,2.1380344828,-19.86,-20.007,-19.904,9.497,9.46,9.533,9.541,-0.293,-0.366,-0.22,-0.279,1.0139324742145968,150.284059,2.585317,0,0.348,0.341,0.357,0.349,2.2837551724,-20.872,-21.123,-21.552,9.96,9.92,9.995,10.013,0.129,0.02,0.319,0.167,4.361450695797826
40,4000705546816,150.27635880000005,2.6036226000000005,false,true,false,false,150.27635,2.603899,0,0.694,0.683,0.704,0.695,1.5165892857,-21.743,-21.921,-22.003,10.064,10.016,10.102,10.095,1.108,1.034,1.182,1.117,0.9955431446087329,150.276517,2.602572,0,1.128,1.116,1.156,1.123,1.6611571429,-21.208,-21.209,-21.375,9.53,9.468,9.645,9.472,1.125,0.825,1.24,1.154,3.82471152531263
41,4000705546924,150.282635,2.6098189,true,false,false,false,150.282665,2.610132,0,0.23,0.223,0.237,0.227,2.9035241379,-22.251,-22.527,-22.76,10.5,10.466,10.534,10.583,0.597,0.528,0.667,0.722,1.132311564465734,150.284374,2.610441,0,0.993,0.982,1.005,0.996,2.4433642857,-22.138,-22.385,-22.955,10.168,10.118,10.213,10.138,1.914,1.834,1.984,1.898,6.642812456908529
42,4000705546942,150.3185577,2.6089989,false,false,false,true,150.318545,2.609248,0,0.831,0.822,0.839,0.832,1.9356689655,-22.612,-22.676,-22.963,10.348,10.314,10.383,10.377,1.446,1.359,1.531,1.475,0.8979223153056158,150.319402,2.60726,0,0.298,0.291,0.306,0.298,1.2267551724,-20.025,-20.183,-20.149,9.434,9.377,9.519,9.51,-0.365,-0.451,-0.291,-0.336,6.957543360884727
43,4000705547180,150.3197391,2.6178114,false,false,false,true,150.319692,2.618035,0,0.992,0.97,1.004,0.998,1.8207517241,-22.856,-23.006,-23.404,10.451,10.409,10.493,10.454,1.798,1.729,1.867,1.787,0.8225881194490694,150.320865,2.617409,0,1.709,1.527,2.165,1.699,0.68128148148,-20.861,-21.03,-20.722,9.207,9.068,9.344,9.216,0.738,0.602,0.899,0.73,4.30035417753161
44,4000705547333,150.2871589,2.6251568,false,true,false,false,150.287241,2.625412,0,0.28,0.273,0.287,0.283,4.9304642857,-18.759,-18.928,-18.698,8.45,8.409,8.497,8.472,0.247,0.089,0.343,0.295,0.9649968292843014,150.287292,2.626262,0,0.999,0.944,1.05,0.989,1.1610481481,-19.518,-19.614,-19.3,8.697,8.578,8.796,8.587,0.369,0.247,0.632,0.613,4.007408801398575
111,4000706649921,150.0592642,2.21971,false,true,false,false,150.05916,2.219941,2,1.062,1.054,1.069,1.063,4.5755172414,-23.608,-23.881,-24.514,11.123,11.072,11.234,11.076,2.041,1.588,2.149,2.055,0.9121745782436376,150.059076,2.219008,0,0.191,0.129,0.29,0.14,1.14706,-14.465,-14.791,-15.877,7.431,7.201,7.689,7.406,-1.602,-2.057,-1.168,-1.65,2.6163112958356356
128,4000707045178,150.21968769999995,1.6685259,false,false,true,false,150.219627,1.668576,0,0.22,0.213,0.227,0.218,1.6907344828,-19.438,-19.55,-19.483,9.012,8.971,9.047,9.067,-0.061,-0.156,0.078,-0.007,0.28326707367629667,150.219484,1.669488,0,3.219,3.151,3.299,3.21,1.1177962963,-22.633,-22.756,-22.754,10.126,10.031,10.201,10.14,1.69,1.603,2.116,1.637,3.54027540127828
129,4000707045688,150.2112865,1.6802951000000002,true,false,false,false,150.211446,1.680277,0,0.726,0.707,0.742,0.736,4.9943448276,-20.325,-20.557,-19.522,9.288,9.254,9.329,9.252,0.4,0.332,0.468,0.386,0.5776400134324655,150.211038,1.679906,0,0.574,0.564,0.582,0.574,2.7988517241,-20.621,-21.01,-21.593,9.757,9.718,9.792,9.777,1.0,0.932,1.068,1.028,1.6618513125132448
130,4000707045792,150.2187753,1.6823293999999998,false,false,false,true,150.218537,1.682715,0,0.744,0.735,0.753,0.743,0.9081137931,-22.146,-22.583,-23.338,10.75,10.709,10.787,10.72,1.355,1.009,1.466,1.363,1.631659222833717,150.217898,1.682306,0,4.049,3.953,4.206,4.007,1.9870740741,-22.926,-22.068,-21.828,9.518,9.472,9.637,9.52,2.192,2.108,2.273,2.179,3.158042420600833
