col1,SourceID,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
0,4000704963129,187.9838073,58.01052370000001,False,False,False,True
1,4000704963271,187.9803228,58.0264814,True,False,False,False
2,4000704963422,187.9381812,58.03994920000001,True,False,False,False
3,4000705131622,217.21627090000004,34.0152775,False,True,False,False
4,4000705131630,217.2078387,34.015575899999995,False,False,False,True
5,4000705131933,217.2524642,34.0445095,False,False,True,False
6,4000705131984,217.2184485,34.038641,True,False,False,False
7,4000705361885,50.7931654,-37.3419079,False,False,False,True
8,4000705361923,50.7970912,-37.341165,False,True,False,False
9,4000705362014,50.8214679,-37.3372205,False,False,False,True
10,4000705362667,50.7631945,-37.3178107,False,False,True,False
11,4000705362770,50.8379765,-37.317285,False,False,False,True
12,4000705362827,50.808368,-37.31296879999999,False,False,False,True
13,4000705362830,50.8107934,-37.31492120000001,False,False,False,True
14,4000705363247,50.8191659,-37.3047494,False,False,True,False
15,4000705363248,50.802018200000006,-37.3043304,True,False,False,False
16,4000705363260,50.7986281,-37.3029438,False,True,False,False
17,4000705363349,50.80383670000001,-37.2997217,True,False,False,False
18,4000705363429,50.8241033,-37.29869,False,True,False,False
19,4000705363640,50.8051914,-37.295549,False,False,True,False
20,4000705395605,149.35639880000005,69.5282468,False,False,False,True
21,4000705532455,150.6796638,2.1966146,False,True,True,False
22,4000705532984,150.67354619999998,2.2264376,True,False,False,False
23,4000705533312,150.66797549999995,2.2429453,False,False,True,False
24,4000705533383,150.6451245,2.2376505,True,False,False,False
25,4000705539435,149.7007293,2.634871,False,False,False,True
26,4000705539529,149.6866264,2.6371612,True,False,False,False
27,4000705539677,149.733008,2.6436556,False,False,True,False
28,4000705539941,149.7026524,2.6546235,False,True,False,False
29,4000705540005,149.7224353,2.6571823,False,False,True,False
30,4000705540034,149.7270169,2.6580661,True,False,False,False
31,4000705540064,149.70149540000003,2.6602711,False,False,False,True
32,4000705540104,149.68887759999996,2.6613829,False,False,False,True
33,4000705540147,149.6986642,2.661838,False,True,False,False
34,4000705540405,149.7328087,2.6794219,True,False,False,False
35,4000705540519,149.6962977,2.6782622000000003,False,True,False,False
36,4000705540672,149.7263868,2.672252,False,False,True,False
37,4000705541989,197.7707348,-3.1865891,False,False,False,True
38,4000705546183,150.299997,2.5780832,False,True,False,False
39,4000705546342,150.28368480000003,2.5864694,False,True,False,False
40,4000705546816,150.27635880000005,2.6036226000000005,False,True,False,False
41,4000705546924,150.282635,2.6098189,True,False,False,False
42,4000705546942,150.3185577,2.6089989,False,False,False,True
43,4000705547180,150.3197391,2.6178114,False,False,False,True
44,4000705547333,150.2871589,2.6251568,False,True,False,False
45,4000705547837,215.0649621,53.1122978,True,False,False,False
46,4000705548020,215.0015195,53.1268721,False,False,True,True
47,4000705548266,215.056313,53.15662140000001,False,False,False,True
48,4000705548538,53.0972251,-27.8147086,False,False,False,True
49,4000705550359,177.3160204,56.8563562,False,False,False,True
50,4000705578995,189.293817,62.19498929999999,True,False,False,False
51,4000705579252,214.99869930000003,52.90613960000001,False,False,True,False
52,4000705579853,214.971573,52.9361983,False,True,False,False
53,4000705580061,214.9568186,52.9489743,False,False,True,False
54,4000705591193,11.5370471,40.73695479999999,True,False,False,False
55,4000705592418,249.2454263,40.9130167,True,False,False,False
56,4000705592438,249.2602294,40.915529,False,False,False,True
57,4000705592452,249.2413721,40.9170957,True,False,False,False
58,4000705592485,249.2510958,40.9191822,False,False,False,True
59,4000705710827,163.13499230000005,57.5182575,False,False,True,False
60,4000705711413,163.1261483,57.5337071,False,True,False,False
61,4000705711430,163.1315622,57.5345018,True,False,False,False
62,4000705711696,163.1337976,57.5435584,False,True,False,False
63,4000705711883,163.18300359999995,57.5461723,False,False,False,True
64,4000705712608,163.15388969999995,57.55864449999999,False,False,True,False
65,4000705712778,163.1769822,57.5640311,True,False,False,False
66,4000705764532,53.0624931,-27.7648928,False,True,False,False
67,4000705764969,53.0708418,-27.7237762,True,False,False,False
68,4000705770505,23.8990776,30.4953378,False,False,True,False
69,4000705850503,186.8298166,33.510012800000005,False,True,False,False
70,4000705850668,186.866959,33.5211253,False,False,False,False
71,4000705850725,186.8298184,33.5253061,False,False,False,True
