col1,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
0,187.9838073,58.01052370000001,false,false,true,false
1,187.9803228,58.0264814,false,false,true,false
2,187.9381812,58.03994920000001,false,false,true,false
3,217.21627090000004,34.0152775,false,false,true,false
4,217.2078387,34.015575899999995,true,false,false,false
5,217.2524642,34.0445095,true,false,false,false
6,217.2184485,34.038641,true,false,false,false
7,50.7931654,-37.3419079,false,false,true,false
8,50.7970912,-37.341165,false,true,false,false
9,50.8214679,-37.3372205,true,false,false,false
10,50.7631945,-37.3178107,true,false,false,false
11,50.8379765,-37.317285,false,false,false,true
12,50.808368,-37.31296879999999,true,false,false,false
13,50.8107934,-37.31492120000001,false,false,false,true
14,50.8191659,-37.3047494,true,false,false,false
15,50.802018200000006,-37.3043304,true,false,false,false
16,50.7986281,-37.3029438,false,false,false,true
17,50.80383670000001,-37.2997217,true,false,false,false
18,50.8241033,-37.29869,true,false,false,false
19,50.8051914,-37.295549,false,true,false,false
20,149.35639880000005,69.5282468,false,true,false,false
21,150.6796638,2.1966146,false,true,false,false
22,150.67354619999998,2.2264376,false,true,false,false
23,150.66797549999995,2.2429453,true,false,false,false
24,150.6451245,2.2376505,false,false,true,false
25,149.7007293,2.634871,false,true,false,false
26,149.6866264,2.6371612,true,false,false,false
27,149.733008,2.6436556,true,false,false,false
28,149.7026524,2.6546235,true,false,false,false
29,149.7224353,2.6571823,true,false,false,false
30,149.7270169,2.6580661,false,true,false,false
31,149.70149540000003,2.6602711,false,true,false,false
32,149.68887759999996,2.6613829,false,false,false,true
33,149.6986642,2.661838,false,false,true,false
34,149.7328087,2.6794219,false,true,false,false
35,149.6962977,2.6782622000000003,true,false,false,false
36,149.7263868,2.672252,true,false,false,false
37,197.7707348,-3.1865891,false,true,false,false
38,150.299997,2.5780832,true,false,false,false
39,150.28368480000003,2.5864694,true,false,false,false
40,150.27635880000005,2.6036226000000005,true,false,false,false
41,150.282635,2.6098189,false,false,true,false
42,150.3185577,2.6089989,false,false,false,true
43,150.3197391,2.6178114,false,false,false,true
44,150.2871589,2.6251568,false,true,false,false
45,215.0649621,53.1122978,false,false,true,false
46,215.0015195,53.1268721,false,true,false,false
47,215.056313,53.15662140000001,true,false,false,false
48,53.0972251,-27.8147086,false,false,true,false
49,177.3160204,56.8563562,true,false,false,false
50,189.293817,62.19498929999999,true,false,false,false
51,214.99869930000003,52.90613960000001,true,false,false,false
52,214.971573,52.9361983,false,true,false,false
53,214.9568186,52.9489743,true,false,false,false
54,11.5370471,40.73695479999999,true,false,false,false
55,249.2454263,40.9130167,true,false,false,false
56,249.2602294,40.915529,false,false,false,true
57,249.2413721,40.9170957,false,false,false,true
58,249.2510958,40.9191822,false,false,false,true
59,163.13499230000005,57.5182575,true,false,false,false
60,163.1261483,57.5337071,true,false,false,false
61,163.1315622,57.5345018,false,false,true,false
62,163.1337976,57.5435584,true,false,false,false
63,163.18300359999995,57.5461723,false,false,false,true
64,163.15388969999995,57.55864449999999,true,false,false,false
65,163.1769822,57.5640311,true,false,false,false
66,53.0624931,-27.7648928,false,false,true,false
67,53.0708418,-27.7237762,true,false,false,false
68,23.8990776,30.4953378,false,true,false,false
