col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
17606,4001302862830,149.69542280000005,2.4874457000000003,true,false,false,false
17607,4001302862857,149.694175,2.4900108,true,false,false,false
17608,4001302862980,149.727608,2.4973174,false,false,true,false
17609,4001302863391,149.7292243,2.5199562,false,false,false,true
17610,4001302865075,189.0534622,62.2829906,false,true,false,false
17611,4001302867371,5.0131501,26.1332157,false,false,false,true
17612,4001302867738,5.0446512000000014,26.150208,false,false,false,true
17613,4001302867824,5.0280406,26.1551377,true,false,false,false
17614,4001302880996,334.45969039999994,0.2238225,true,false,false,false
17615,4001302881484,334.4109705,0.2610949,false,false,false,true
17616,4001302881620,3.4448026,-30.3860459,false,false,true,false
17617,4001302882012,3.4754311,-30.3992154,false,true,false,false
17618,4001302882423,3.4811126000000003,-30.3726313,false,false,true,false
17619,4001302882426,3.4527318999999994,-30.3718411,false,true,false,false
17620,4001302882696,3.4880376,-30.3603125,true,false,false,false
17621,4001303226944,214.7879143,52.8140708,false,true,false,false
17622,4001303227431,214.7035494,52.8426414,false,true,false,false
17623,4001303227579,214.71012510000003,52.8517096,true,false,false,false
17624,4001303237796,216.1780925,35.03919370000001,false,false,false,true
17625,4001303238199,216.1772085,35.0749427,false,false,false,true
17626,4001303238758,177.3376391,-18.4218791,false,false,false,true
17627,4001303239091,177.3299925,-18.4070413,false,false,false,true
17628,4001303239322,177.3319449,-18.3980186,true,false,false,false
17629,4001303239341,177.3318822,-18.3974145,true,false,false,false
17630,4001303242525,150.1444164,2.441967,true,false,false,false
17631,4001303242633,150.1755867,2.4443008,false,false,false,true
17632,4001303245318,150.2242725,2.1999667,false,false,true,false
17633,4001303245583,150.2223607,2.2062199,false,false,false,true
17634,4001303245787,150.1890158,2.2098928,false,false,true,false
17635,4001303249506,53.1362578,-27.9063678,false,false,false,true
17636,4001303250931,150.2298675,2.1487367,false,true,false,false
17637,4001303250974,150.2276014,2.1502706000000003,false,false,false,true
17638,4001303251109,150.1742533,2.153436,false,false,true,false
17639,4001303430125,150.1565145,2.3133189,false,false,false,true
17640,4001303431495,150.14895149999995,2.3438343,false,false,true,false
17641,4001303432517,186.7182616,23.8088338,true,false,false,false
17642,4001303432593,186.7282451,23.8128835,false,false,false,true
17643,4001303432766,186.6888382,23.8198704,false,false,true,false
17644,4001303555019,154.24934009999996,-2.1604963,true,false,false,false
17645,4001303555054,154.2404736,-2.1576223,false,false,false,true
17646,4001303555065,154.2595675,-2.1551274,false,false,true,false
17647,4001303555170,154.25293630000004,-2.1476567,false,true,false,false
17648,4001303555261,154.2355793,-2.1392222000000003,false,false,true,false
17649,4001303555283,154.2857668,-2.13848,false,true,false,false
17650,4001303555367,154.2525945,-2.1328549,true,false,false,false
17651,4001303555416,154.25619709999995,-2.1284857,true,false,false,false
17652,4001303951395,150.3579711,2.0690878,false,false,false,true
17653,4001303951426,150.3951555,2.0719486000000003,false,false,false,true
17654,4001303951695,150.40495790000003,2.0912458,false,false,true,false
17655,4001304052962,170.03850380000003,-11.9952093,false,false,false,true
17656,4001304053215,170.05057659999997,-11.981567300000002,false,false,false,true
17657,4001304053462,170.0251749,-11.9616314,false,true,false,false
17658,4001304053552,170.0212124,-11.957594,true,false,false,false
17659,4001304210679,189.029302,62.1970872,false,false,true,false
17660,4001304214013,214.8694319,52.8728259,true,false,false,false
17661,4001304215281,214.8195912,52.8980596,false,true,false,false
17662,4001304215402,214.805554,52.9019448,false,true,false,false
17663,4001304215649,214.79298480000003,52.9058713,true,false,false,false
17664,4001304292131,34.44684829999999,-5.1352648,false,false,true,false
17665,4001304430872,49.5654492,-25.61210860000001,false,false,true,false
17666,4001304430991,49.5529711,-25.6019208,false,false,true,false
17667,4001304431185,49.6018458,-25.5859709,true,false,false,false
17668,4001304431188,49.56925560000001,-25.5851859,false,false,false,true
17669,4001304576862,334.4488304,0.2259271,false,false,false,true
17670,4001304642004,150.0996428,2.0750438,true,false,false,false
17671,4001304642982,150.0819399,2.0999883,false,true,false,false
17672,4001304643690,150.089154,2.0653769,true,false,false,false
17673,4001304643742,150.0968799,2.0677564,false,true,false,false
17674,4001304708082,0.2077494,33.4789851,false,true,false,false
17675,4001304708480,0.1977654,33.4932536,false,true,false,false
17676,4001304708731,0.2405793,33.5080354,false,true,false,false
