col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
4627,4000862789843,180.5151199,-18.965679,false,false,true,false
4628,4000863261675,181.5205676,-8.8223679,false,false,false,true
4629,4000863264173,150.7372807,2.6673512,false,true,false,false
4630,4000863264194,150.732139,2.6677914,false,false,false,true
4631,4000863264202,150.7318064,2.6681924,false,false,false,true
4632,4000863264638,150.7639024,2.6854864,false,true,false,false
4633,4000863264702,150.7374585,2.6860298,true,false,false,false
4634,4000863264817,150.7322986,2.6893621,false,false,true,false
4635,4000863353489,206.1447697,55.9038522,false,false,true,false
4636,4000863355989,206.1791709,55.88811479999999,false,false,false,true
4637,4000863356419,206.1234346,55.8943829,false,false,false,true
4638,4000863356459,206.2055358,55.8957277,false,false,false,true
4639,4000863867354,176.2475326,-2.3953459,false,false,false,true
4640,4000863867727,176.2311082,-2.3665715,false,false,false,true
4641,4000863867966,176.2278833,-2.3543479,false,false,true,false
4642,4000863930466,194.2690522,34.3250102,false,false,true,false
4643,4000863930653,194.2607037,34.3280143,false,false,true,false
4644,4000863932348,150.139337,2.219065,false,false,false,true
4645,4000863932428,150.1085103,2.2235811,false,true,false,false
4646,4000864245015,214.8981866,52.8367792,false,false,false,true
4647,4000864393567,150.2691165,2.3334069,false,false,false,true
4648,4000864393654,150.2656833,2.3372923,true,false,false,false
4649,4000864393833,150.2470917,2.3438128,false,true,false,false
4650,4000864394202,150.2579024,2.3582349,false,false,false,true
4651,4000864394308,150.2674914,2.3661577,true,false,false,false
4652,4000864394323,150.2358926,2.3688988,false,false,true,false
4653,4000864394423,150.2512231,2.3609401,false,false,true,false
4654,4000864394425,150.2512111,2.3606396000000003,false,false,true,false
4655,4000864394475,150.25384309999995,2.3673928,false,false,false,true
4656,4000864394476,150.27144019999997,2.3680259,false,false,true,false
4657,4000865125605,11.5378789,40.6889054,false,false,false,true
4658,4000865131072,11.5403528,40.7134346,false,false,true,false
4659,4000865136827,150.3830291,2.1333614,false,false,false,true
4660,4000865137046,150.3905324,2.1441931,false,false,false,true
4661,4000865137071,150.3757928,2.1447511,false,false,true,false
4662,4000865137495,150.3653335,2.1672426,false,true,false,false
4663,4000865137554,150.370442,2.1687948,false,false,false,true
4664,4000865137829,150.370537,2.1786454,false,true,false,false
4665,4000865137866,150.36749430000003,2.1793157,false,false,false,true
4666,4000865514071,12.3454623,-18.1020222,true,false,false,false
4667,4000865514079,12.3192913,-18.1014174,false,false,true,false
4668,4000865514122,12.3354429,-18.097662,false,false,true,false
4669,4000865514311,12.3684573,-18.09096060000001,false,false,true,false
4670,4000865519081,12.3437773,-18.0670618,false,false,false,true
4671,4000865519191,12.3311869,-18.0644551,false,false,false,true
4672,4000865519627,12.3222099,-18.0530703,false,false,true,false
4673,4000865874484,157.52147380000005,-35.3312588,false,false,true,false
4674,4000865874948,157.48345880000005,-35.32757810000001,false,false,false,true
4675,4000865876749,157.5142564,-35.3096522,true,false,false,false
4676,4000866063295,0.8542911,16.0716315,false,false,false,true
4677,4000866064253,0.8555903,16.1057195,false,false,true,false
4678,4000866128639,149.745301,2.4659188,false,false,false,true
4679,4000866129070,149.7245658,2.4845872000000004,false,false,true,false
4680,4000866129806,149.758321,2.5139098,false,true,false,false
4681,4000866130564,155.42362509999995,18.0778284,true,false,false,false
4682,4000866131337,155.4291935,18.0859394,true,false,false,false
4683,4000866132775,155.4234898,18.0967865,false,false,true,false
4684,4000866199587,24.9887899,-5.9109247000000025,false,false,false,true
4685,4000866199754,25.0327892,-5.9046831,false,false,false,true
4686,4000866241830,149.91631,1.75657,false,false,false,true
4687,4000866242191,149.9313427,1.7724005,false,true,false,false
4688,4000866336867,4.8324976,34.2520967,false,false,true,false
4689,4000866336873,4.832572,34.252673200000004,false,false,true,false
4690,4000866385735,74.216769,-42.8088463,false,false,false,true
4691,4000866388599,74.2758213,-42.7975958,false,true,false,false
4692,4000866388610,74.27560550000003,-42.79792310000001,false,true,false,false
4693,4000866388622,74.2755319,-42.797661700000006,false,true,false,false
4694,4000866391355,74.253681,-42.7701216,false,false,true,false
4695,4000866393265,260.0484693,35.5986489,true,false,false,false
4696,4000866393922,260.062171,35.6063068,true,false,false,false
4697,4000866394395,260.0882575,35.6143705,false,true,false,false
4698,4000866396069,260.0840611,35.6374341,false,false,false,true
4699,4000866478512,248.3862761,13.6668081,false,false,true,false
4700,4000866479955,248.405706,13.6852765,false,false,false,true
