mass,sfr
10.5,0.411
9.508,0.107
10.116,1.232
9.968,1.291
10.953,1.401
10.5,0.597
9.757,1.0
9.31,-0.384
9.738,0.787
9.556,1.012
9.95,1.217
10.782,0.806
10.907,0.886
11.1,-0.0
9.29,0.029
9.409,-0.559
9.493,0.783
11.05,2.004
9.959,1.206
10.892,1.223
10.478,-1.04
10.5,-1.5
9.634,-0.03
10.85,-1.2
11.743,-5.195
10.275,1.4
9.146,1.5
9.83,1.235
10.871,2.001
9.087,0.192
8.253,-1.2
10.151,1.3
10.349,1.601
10.53,1.453
10.42,-0.877
10.042,1.496
8.507,-0.717
9.865,1.3
9.343,0.96
9.579,0.981
10.23,1.899
9.76,0.255
11.1,0.9
9.578,0.35
10.851,-1.697
10.95,0.299
9.145,1.494
9.094,0.799
10.296,0.408
9.699,1.234
9.836,1.293
9.084,0.069
9.783,1.474
8.915,-0.578
10.339,2.031
11.103,0.511
9.718,0.899
9.645,0.705
10.679,1.206
10.145,1.681
9.529,1.625
10.691,1.923
10.146,1.142
10.601,0.804
10.482,0.974
10.651,1.7
10.825,0.684
10.078,1.5
9.404,-0.886
10.461,0.684
11.15,-0.9
10.296,1.177
9.44,-0.381
9.962,1.397
10.322,1.057
10.85,0.6
9.5,-0.5
10.087,0.573
10.581,2.2
9.709,0.774
10.901,0.301
9.325,0.73
10.3,1.1
10.97,1.3
10.55,0.0
10.847,-0.3
10.647,1.719
10.563,1.516
9.581,0.651
10.155,1.145
9.696,0.41
10.494,1.406
9.673,0.868
8.97,0.484
8.847,-1.107
8.802,-0.196
9.851,1.014
10.75,0.462
9.895,1.652
9.75,0.843
10.7,0.802
9.609,0.596
9.188,0.777
10.601,0.897
10.701,-0.396
10.251,-0.11
10.542,0.716
10.766,0.269
10.181,1.029
9.516,1.893
10.75,-0.8
9.852,0.972
9.772,0.926
10.459,1.06
9.221,0.426
9.754,0.959
9.44,0.71
9.212,0.484
10.865,1.496
9.628,0.808
10.206,1.598
8.907,0.6
9.432,-0.169
10.378,1.203
10.776,0.735
10.103,1.758
10.16,1.205
10.65,1.0
10.232,1.603
9.481,1.221
9.967,1.804
10.456,0.907
10.231,0.783
10.4,1.105
10.595,1.8
10.5,0.6
9.207,0.332
9.952,0.898
10.9,1.0
10.062,0.669
10.34,2.613
10.624,0.82
10.365,1.526
10.8,-0.801
10.429,0.982
9.314,0.597
10.7,0.0
10.067,0.265
10.168,1.036
9.909,1.405
9.915,1.395
10.4,1.406
10.053,-1.523
10.175,-0.499
8.908,0.485
9.801,1.396
9.803,0.1
11.2,-0.4
10.235,1.262
8.781,1.162
10.062,1.406
11.3,0.9
10.291,1.808
10.891,-0.017
10.8,0.999
10.807,0.791
9.955,1.41
10.45,1.537
9.292,0.343
10.489,2.018
10.512,-0.6
10.049,-0.185
9.891,1.728
9.409,1.136
9.758,1.544
10.044,2.181
10.04,0.291
9.743,0.118
10.646,-0.497
10.897,-0.007
10.361,-3.021
9.395,0.875
8.622,0.048
9.437,-0.152
9.689,1.364
10.551,1.709
9.097,0.147
9.4,-2.6
10.058,1.271
9.7,-5.1
10.45,0.601
9.854,-0.097
10.133,-2.401
10.475,-0.804
10.447,1.572
9.586,-1.23
10.1,2.399
10.75,0.3
10.492,1.71
10.335,1.893
10.091,-0.822
11.148,0.752
10.65,0.6
10.641,0.424
10.699,1.598
10.95,-0.6
10.598,-1.402
9.567,0.675
9.837,1.119
10.185,1.532
9.31,0.899
9.833,1.109
10.569,2.1
9.691,1.201
9.443,1.311
9.503,-0.204
9.295,0.495
9.794,0.868
9.496,-1.419
10.316,1.613
9.97,1.666
9.95,0.879
9.945,1.001
9.596,-0.294
9.142,0.151
10.775,2.011
9.989,1.46
10.693,0.658
9.216,0.501
10.479,1.266
9.772,0.94
10.39,0.919
10.699,1.636
9.202,-0.795
9.651,0.582
10.594,1.111
9.868,-1.029
11.275,-0.199
9.942,2.28
9.625,1.187
10.086,1.114
9.913,1.029
10.265,1.664
10.616,1.623
10.411,0.287
8.999,1.029
9.8,0.448
9.69,1.161
10.765,1.52
9.988,1.633
9.853,0.98
9.797,-0.907
11.0,-0.228
9.592,0.901
10.722,1.619
10.749,-0.399
10.65,0.2
10.799,1.503
9.695,1.236
9.774,1.113
9.742,1.95
11.32,-4.815
10.432,1.697
9.819,0.743
10.103,1.257
10.746,1.711
8.585,-1.154
10.609,1.297
10.68,0.14
9.77,1.261
10.007,1.129
9.308,-0.202
9.371,-0.067
9.476,1.325
10.699,0.888
9.171,-0.261
10.613,1.306
10.95,-0.6
10.853,-0.293
10.45,0.3
10.023,0.002
9.297,0.489
10.171,0.504
10.5,0.7
9.291,0.198
9.73,1.006
10.104,1.694
10.367,0.891
10.5,0.5
10.954,0.346
9.485,0.217
10.404,1.474
9.696,0.713
9.543,0.791
10.226,0.876
9.4,0.404
10.726,1.463
10.95,1.3
10.559,1.506
10.463,-0.345
10.81,1.105
10.881,1.713
9.173,-0.618
9.979,0.241
10.561,2.499
9.957,-0.279
8.459,-0.527
10.45,0.747
10.325,1.483
10.425,1.706
10.991,1.989
10.601,1.4
10.837,-0.227
10.766,-0.1
9.7,1.807
10.896,1.5
9.545,0.282
10.575,1.563
9.127,0.97
10.078,1.101
9.757,-0.271
9.6,-0.6
9.555,0.572
9.487,0.801
10.55,1.619
11.0,0.102
10.021,1.237
9.95,-0.1
9.114,-0.497
9.125,0.696
10.75,0.4
10.4,-0.1
11.2,1.501
8.7,-4.439
9.689,1.397
11.2,-0.099
10.4,0.703
11.001,-2.301
11.5,-0.3
10.014,0.188
11.15,-0.4
10.085,1.098
10.298,0.166
10.163,0.543
10.9,-0.3
